date,value
1990-01-01,94.645
1991-01-01,97.569
1992-01-01,100.210
1993-01-01,101.978
1994-01-01,104.429
1995-01-01,107.581
1996-01-01,109.954
1997-01-01,111.972
1998-01-01,114.344
1999-01-01,116.634
2000-01-01,118.654
2001-01-01,121.081
2002-01-01,123.255
2003-01-01,125.826
2004-01-01,129.258
2005-01-01,133.004
2006-01-01,136.840
2007-01-01,139.890
2008-01-01,140.933
2009-01-01,140.091
2010-01-01,141.177
2011-01-01,139.782
2012-01-01,139.215
2013-01-01,138.888
2014-01-01,138.907
2015-01-01,140.397
2016-01-01,142.988
2017-01-01,145.619
2018-01-01,147.92
2019-01-01,150.153
2020-01-01,154.568
2021-01-01,158.167
2022-01-01,162.508
2023-01-01,166.696
