date,value
1990-01-01,102.726
1991-01-01,106.966
1992-01-01,109.913
1993-01-01,113.571
1994-01-01,117.272
1995-01-01,119.385
1996-01-01,121.875
1997-01-01,124.913
1998-01-01,127.634
1999-01-01,129.263
2000-01-01,131.407
2001-01-01,134.064
2002-01-01,137.674
2003-01-01,142.425
2004-01-01,149.158
2005-01-01,156.532
2006-01-01,163.590
2007-01-01,169.026
2008-01-01,171.506
2009-01-01,170.965
2010-01-01,172.978
2011-01-01,172.877
2012-01-01,172.777
2013-01-01,173.721
2014-01-01,175.411
2015-01-01,178.036
2016-01-01,182.668
2017-01-01,186.899
2018-01-01,190.851
2019-01-01,194.29
2020-01-01,195.624
2021-01-01,200.693
2022-01-01,206.935
2023-01-01,212.807
