date,value
1990-01-01,837.028
1991-01-01,850.326
1992-01-01,864.957
1993-01-01,879.024
1994-01-01,890.958
1995-01-01,906.385
1996-01-01,922.203
1997-01-01,943.919
1998-01-01,965.130
1999-01-01,984.930
2000-01-01,1003.273
2001-01-01,1026.307
2002-01-01,1050.843
2003-01-01,1071.224
2004-01-01,1099.389
2005-01-01,1131.638
2006-01-01,1157.725
2007-01-01,1169.019
2008-01-01,1179.411
2009-01-01,1194.796
2010-01-01,1233.511
2011-01-01,1255.639
2012-01-01,1279.861
2013-01-01,1304.474
2014-01-01,1332.742
2015-01-01,1364.645
2016-01-01,1398.093
2017-01-01,1428.96
2018-01-01,1455.351
2019-01-01,1476.431
2020-01-01,1466.255
2021-01-01,1484.607
2022-01-01,1513.473
2023-01-01,1535.564
