date,value
1990-01-01,213.563
1991-01-01,218.854
1992-01-01,222.349
1993-01-01,227.615
1994-01-01,232.769
1995-01-01,237.593
1996-01-01,242.569
1997-01-01,247.499
1998-01-01,254.167
1999-01-01,259.053
2000-01-01,265.629
2001-01-01,271.965
2002-01-01,279.323
2003-01-01,285.989
2004-01-01,294.684
2005-01-01,304.818
2006-01-01,311.271
2007-01-01,313.696
2008-01-01,315.798
2009-01-01,317.465
2010-01-01,323.442
2011-01-01,327.619
2012-01-01,333.965
2013-01-01,342.024
2014-01-01,351.08
2015-01-01,362.821
2016-01-01,375.538
2017-01-01,385.458
2018-01-01,394.043
2019-01-01,402.977
2020-01-01,401.619
2021-01-01,413.716
2022-01-01,429.169
2023-01-01,441.095
