date,value
1990-01-01,281.937
1991-01-01,285.780
1992-01-01,288.132
1993-01-01,293.977
1994-01-01,301.623
1995-01-01,308.747
1996-01-01,316.352
1997-01-01,323.855
1998-01-01,331.026
1999-01-01,337.533
2000-01-01,347.277
2001-01-01,358.479
2002-01-01,371.195
2003-01-01,385.405
2004-01-01,404.373
2005-01-01,425.225
2006-01-01,443.694
2007-01-01,458.776
2008-01-01,467.467
2009-01-01,469.672
2010-01-01,465.516
2011-01-01,466.529
2012-01-01,469.755
2013-01-01,474.501
2014-01-01,483.59
2015-01-01,495.13
2016-01-01,510.319
2017-01-01,525.533
2018-01-01,539.129
2019-01-01,554.032
2020-01-01,566.156
2021-01-01,585.191
2022-01-01,609.141
2023-01-01,632.996
