date,value
1990-01-01,856.166
1991-01-01,867.902
1992-01-01,872.202
1993-01-01,877.340
1994-01-01,884.441
1995-01-01,891.519
1996-01-01,896.030
1997-01-01,904.564
1998-01-01,913.032
1999-01-01,917.379
2000-01-01,922.255
2001-01-01,923.169
2002-01-01,923.669
2003-01-01,923.933
2004-01-01,924.847
2005-01-01,924.871
2006-01-01,918.733
2007-01-01,912.984
2008-01-01,910.502
2009-01-01,908.968
2010-01-01,916.428
2011-01-01,918.574
2012-01-01,921.863
2013-01-01,928.755
2014-01-01,936.862
2015-01-01,947.664
2016-01-01,960.527
2017-01-01,968.886
2018-01-01,973.343
2019-01-01,975.367
2020-01-01,959.793
2021-01-01,959.583
2022-01-01,961.792
2023-01-01,961.596
