date,value
1990-01-01,407.756
1991-01-01,415.136
1992-01-01,423.171
1993-01-01,429.224
1994-01-01,438.480
1995-01-01,447.182
1996-01-01,454.512
1997-01-01,463.519
1998-01-01,471.450
1999-01-01,478.047
2000-01-01,485.316
2001-01-01,491.271
2002-01-01,498.330
2003-01-01,508.248
2004-01-01,520.963
2005-01-01,538.527
2006-01-01,557.284
2007-01-01,573.139
2008-01-01,580.205
2009-01-01,582.398
2010-01-01,603.119
2011-01-01,610.026
2012-01-01,615.581
2013-01-01,622.808
2014-01-01,634.624
2015-01-01,648.823
2016-01-01,666.271
2017-01-01,685.79
2018-01-01,707.095
2019-01-01,724.967
2020-01-01,730.158
2021-01-01,755.598
2022-01-01,788.382
2023-01-01,818.33
