date,value
1990-01-01,279.748
1991-01-01,286.249
1992-01-01,288.852
1993-01-01,293.277
1994-01-01,299.472
1995-01-01,304.165
1996-01-01,308.435
1997-01-01,313.810
1998-01-01,318.837
1999-01-01,322.839
2000-01-01,327.054
2001-01-01,332.800
2002-01-01,338.851
2003-01-01,345.193
2004-01-01,353.987
2005-01-01,362.997
2006-01-01,365.396
2007-01-01,368.556
2008-01-01,369.580
2009-01-01,368.838
2010-01-01,379.942
2011-01-01,382.298
2012-01-01,386.585
2013-01-01,390.153
2014-01-01,396.636
2015-01-01,405.099
2016-01-01,413.395
2017-01-01,420.073
2018-01-01,426.89
2019-01-01,435.006
2020-01-01,436.237
2021-01-01,448.636
2022-01-01,462.552
2023-01-01,469.013
