date,value
1990-01-01,94.645
1991-01-01,97.569
1992-01-01,100.21
1993-01-01,101.978
1994-01-01,104.429
1995-01-01,107.581
1996-01-01,109.954
1997-01-01,111.972
1998-01-01,114.344
1999-01-01,116.634
2000-01-01,118.654
2001-01-01,121.081
2002-01-01,123.255
2003-01-01,125.826
2004-01-01,129.258
2005-01-01,133.004
2006-01-01,136.84
2007-01-01,139.89
2008-01-01,140.933
2009-01-01,140.091
2010-01-01,141.177
2011-01-01,139.782
2012-01-01,139.215
2013-01-01,138.888
2014-01-01,138.907
2015-01-01,140.397
2016-01-01,142.988
2017-01-01,145.619
2018-01-01,147.92
2019-01-01,150.153
2020-01-01,154.568
2021-01-01,158.167
2022-01-01,162.508
2023-01-01,166.696
1990-01-01,102.726
1991-01-01,106.966
1992-01-01,109.913
1993-01-01,113.571
1994-01-01,117.272
1995-01-01,119.385
1996-01-01,121.875
1997-01-01,124.913
1998-01-01,127.634
1999-01-01,129.263
2000-01-01,131.407
2001-01-01,134.064
2002-01-01,137.674
2003-01-01,142.425
2004-01-01,149.158
2005-01-01,156.532
2006-01-01,163.59
2007-01-01,169.026
2008-01-01,171.506
2009-01-01,170.965
2010-01-01,172.978
2011-01-01,172.877
2012-01-01,172.777
2013-01-01,173.721
2014-01-01,175.411
2015-01-01,178.036
2016-01-01,182.668
2017-01-01,186.899
2018-01-01,190.851
2019-01-01,194.29
2020-01-01,195.624
2021-01-01,200.693
2022-01-01,206.935
2023-01-01,212.807
1990-01-01,837.028
1991-01-01,850.326
1992-01-01,864.957
1993-01-01,879.024
1994-01-01,890.958
1995-01-01,906.385
1996-01-01,922.203
1997-01-01,943.919
1998-01-01,965.13
1999-01-01,984.93
2000-01-01,1003.273
2001-01-01,1026.307
2002-01-01,1050.843
2003-01-01,1071.224
2004-01-01,1099.389
2005-01-01,1131.638
2006-01-01,1157.725
2007-01-01,1169.019
2008-01-01,1179.411
2009-01-01,1194.796
2010-01-01,1233.511
2011-01-01,1255.639
2012-01-01,1279.861
2013-01-01,1304.474
2014-01-01,1332.742
2015-01-01,1364.645
2016-01-01,1398.093
2017-01-01,1428.96
2018-01-01,1455.351
2019-01-01,1476.431
2020-01-01,1466.255
2021-01-01,1484.607
2022-01-01,1513.473
2023-01-01,1535.564
1990-01-01,213.563
1991-01-01,218.854
1992-01-01,222.349
1993-01-01,227.615
1994-01-01,232.769
1995-01-01,237.593
